logged_at_utc,run_name,model_name,epoch,train_loss,val_loss,train_accuracy,val_accuracy,learning_rate
2026-05-05T12:46:59+00:00,baseline_cnn,baseline_cnn,1,1.7347901183923635,0.607524659914129,0.3720415224913495,0.847843137254902,0.001
2026-05-05T12:47:20+00:00,baseline_cnn,baseline_cnn,2,0.7527456475789159,0.17270265592079537,0.7478892733564014,0.9482352941176471,0.001
2026-05-05T12:47:40+00:00,baseline_cnn,baseline_cnn,3,0.4357688901498656,0.08071486484186322,0.8577162629757785,0.9788235294117648,0.001
2026-05-05T12:48:00+00:00,baseline_cnn,baseline_cnn,4,0.31164091094554913,0.04983182761599036,0.8978546712802769,0.9866666666666667,0.001
2026-05-05T12:48:20+00:00,baseline_cnn,baseline_cnn,5,0.23301429902393514,0.03731051748655006,0.9219377162629758,0.9882352941176471,0.001
2026-05-05T12:48:41+00:00,baseline_cnn,baseline_cnn,6,0.19173787879902598,0.029377629185716313,0.9402768166089965,0.9925490196078431,0.001
2026-05-05T12:49:00+00:00,baseline_cnn,baseline_cnn,7,0.16422918978240664,0.0241500345591967,0.946159169550173,0.991764705882353,0.001
2026-05-05T12:49:20+00:00,baseline_cnn,baseline_cnn,8,0.1432817602817575,0.022183071238390518,0.9516955017301038,0.9937254901960785,0.001
2026-05-05T12:49:39+00:00,baseline_cnn,baseline_cnn,9,0.11763849107245673,0.0198631263808256,0.9597231833910035,0.9941176470588236,0.001
2026-05-05T12:49:58+00:00,baseline_cnn,baseline_cnn,10,0.10465705949233065,0.02007438919150873,0.9664359861591696,0.9941176470588236,0.001
2026-05-05T12:50:17+00:00,baseline_cnn,baseline_cnn,11,0.0980658730916086,0.015581210211019818,0.9695501730103806,0.995686274509804,0.001
2026-05-05T12:50:36+00:00,baseline_cnn,baseline_cnn,12,0.09366138370340259,0.015114793309750145,0.9703806228373703,0.9968627450980392,0.001
2026-05-05T12:50:56+00:00,baseline_cnn,baseline_cnn,13,0.085397111638143,0.016420407403516128,0.9728719723183391,0.9964705882352941,0.001
2026-05-05T12:51:15+00:00,baseline_cnn,baseline_cnn,14,0.08054974799337684,0.01416081152737652,0.9741176470588235,0.9972549019607844,0.001
2026-05-05T12:51:34+00:00,baseline_cnn,baseline_cnn,15,0.07333526952275975,0.014098339903455995,0.9762629757785467,0.9952941176470588,0.001
2026-05-05T12:51:53+00:00,baseline_cnn,baseline_cnn,16,0.06949674781424776,0.013261638796801551,0.9782006920415225,0.995686274509804,0.001
2026-05-05T12:52:12+00:00,baseline_cnn,baseline_cnn,17,0.06227400058306831,0.014298439242867935,0.980484429065744,0.9968627450980392,0.001
2026-05-05T12:52:31+00:00,baseline_cnn,baseline_cnn,18,0.06096711871017634,0.011221765479958599,0.9807612456747404,0.9976470588235294,0.001
2026-05-05T12:52:51+00:00,baseline_cnn,baseline_cnn,19,0.06166100525061977,0.012611033742649335,0.9817993079584775,0.9972549019607844,0.001
2026-05-05T12:53:10+00:00,baseline_cnn,baseline_cnn,20,0.06473118240368202,0.013407732782584123,0.9802768166089966,0.9964705882352941,0.001
2026-05-05T12:53:29+00:00,baseline_cnn,baseline_cnn,21,0.05551036619732743,0.012458385143722361,0.9820069204152249,0.9964705882352941,0.001
2026-05-05T12:53:48+00:00,baseline_cnn,baseline_cnn,22,0.055890281483995045,0.011021253235441833,0.9840138408304498,0.9984313725490196,0.001
2026-05-05T12:54:08+00:00,baseline_cnn,baseline_cnn,23,0.052159017391477075,0.01312687155391448,0.9840138408304498,0.9972549019607844,0.001
2026-05-05T12:54:27+00:00,baseline_cnn,baseline_cnn,24,0.050682526983991005,0.012078853058728604,0.9836678200692042,0.9964705882352941,0.001
2026-05-05T12:54:46+00:00,baseline_cnn,baseline_cnn,25,0.05346979966934989,0.011556749983060667,0.9829065743944637,0.9976470588235294,0.001
2026-05-05T12:55:04+00:00,baseline_cnn,baseline_cnn,26,0.048119199884391575,0.010353244464050101,0.9845674740484429,0.9976470588235294,0.001
2026-05-05T12:55:24+00:00,baseline_cnn,baseline_cnn,27,0.041038225074669275,0.010090067240731406,0.9874048442906574,0.9972549019607844,0.001
2026-05-05T12:55:42+00:00,baseline_cnn,baseline_cnn,28,0.043150342746176934,0.010064983194267067,0.9857439446366782,0.9976470588235294,0.001
2026-05-05T12:56:01+00:00,baseline_cnn,baseline_cnn,29,0.042651322745946865,0.011574157316588075,0.9872664359861592,0.9972549019607844,0.001
2026-05-05T12:56:20+00:00,baseline_cnn,baseline_cnn,30,0.041029253722680896,0.01132417299477703,0.9872664359861592,0.9968627450980392,0.001
2026-05-05T12:56:39+00:00,baseline_cnn,baseline_cnn,31,0.04381379914582807,0.011705537689769842,0.9854671280276817,0.9968627450980392,0.001
2026-05-05T12:56:58+00:00,baseline_cnn,baseline_cnn,32,0.03721065559034529,0.012646971571449802,0.9879584775086505,0.9972549019607844,0.0005
2026-05-05T12:57:17+00:00,baseline_cnn,baseline_cnn,33,0.03247851293804736,0.00972522819441556,0.9904498269896194,0.9976470588235294,0.0005
2026-05-05T12:57:36+00:00,baseline_cnn,baseline_cnn,34,0.03207570811714268,0.01134779641527298,0.9901730103806229,0.9968627450980392,0.0005
2026-05-05T12:57:55+00:00,baseline_cnn,baseline_cnn,35,0.0321257041742748,0.01001548011215859,0.9894809688581315,0.9976470588235294,0.0005
2026-05-05T12:58:14+00:00,baseline_cnn,baseline_cnn,36,0.027213100336272927,0.009720136880657496,0.9915570934256055,0.9984313725490196,0.0005
2026-05-05T12:58:33+00:00,baseline_cnn,baseline_cnn,37,0.03197173716861329,0.011149306241907955,0.9901730103806229,0.9980392156862745,0.0005
2026-05-05T12:58:52+00:00,baseline_cnn,baseline_cnn,38,0.02531974501967443,0.00863823066516203,0.991764705882353,0.9984313725490196,0.0005
2026-05-05T12:59:11+00:00,baseline_cnn,baseline_cnn,39,0.02204889284981782,0.009161780918273544,0.9932179930795848,0.9988235294117647,0.0005
2026-05-05T12:59:30+00:00,baseline_cnn,baseline_cnn,40,0.029426821988997626,0.008714140735063861,0.9898961937716263,0.9980392156862745,0.0005
2026-05-05T12:59:48+00:00,baseline_cnn,baseline_cnn,41,0.02394765813155003,0.010051221095114563,0.9914186851211073,0.9972549019607844,0.0005
2026-05-05T13:00:08+00:00,baseline_cnn,baseline_cnn,42,0.022420788637030495,0.009014124274712517,0.9927335640138408,0.9984313725490196,0.00025
2026-05-05T13:00:27+00:00,baseline_cnn,baseline_cnn,43,0.023033939055247702,0.009444577904812153,0.9933564013840831,0.9988235294117647,0.00025
2026-05-05T13:00:45+00:00,baseline_cnn,baseline_cnn,44,0.022002543056042136,0.008973292432165894,0.9930103806228374,0.9980392156862745,0.00025
2026-05-05T13:01:05+00:00,baseline_cnn,baseline_cnn,45,0.023527505253683325,0.010058825576806889,0.9925259515570934,0.9976470588235294,0.00025
2026-05-05T13:01:24+00:00,baseline_cnn,baseline_cnn,46,0.0178582517945032,0.010089993560583987,0.9945328719723183,0.9976470588235294,0.000125
2026-05-05T13:01:44+00:00,baseline_cnn,baseline_cnn,47,0.02033018623910535,0.009693650202978318,0.9932179930795848,0.9984313725490196,0.000125
2026-05-05T13:02:03+00:00,baseline_cnn,baseline_cnn,48,0.01913470414829695,0.010113587507831992,0.993840830449827,0.9980392156862745,0.000125
