learning_rate,weight_decay,batch_size,max_epochs,conv_channels,dropout_rates,dense_size,rotation_degrees,translation_range,scale_range,loss_name,label_smoothing,val_accuracy,val_loss,best_epoch,training_time,model_size_mb
0.0005611516415334506,0.006351221010640704,98,68,"[16, 32, 64]","[0.2, 0.4]",73,30,0.17486639612006327,"[0.7637017332034828, 1.0545474901621301]",cross_entropy_ls,0.15742692948967135,0.9980392156862745,0.7397289034432056,61,459.28096199035645,0.15508651733398438
0.0007309539835912913,1.461896279370496e-05,85,31,"[64, 128, 256]","[0.2, 0.4]",329,6,0.14113172778521577,"[0.7511572371061874, 1.019515477895584]",cross_entropy_ls,0.24251920443493832,0.9976470588235294,1.0326529105504354,30,214.61402678489685,2.4540977478027344
0.0004066563313514797,2.4586032763280077e-06,93,55,"[32, 64, 128]","[0.2, 0.4]",203,18,0.13200654190149197,"[0.7554563366576581, 1.2908753883293675]",cross_entropy_ls,0.26844820512829465,0.9980392156862745,1.1074227016112383,53,371.53061294555664,0.6401100158691406
0.0015696396388661157,0.0048696409415209,25,35,"[64, 128, 256]","[0.25, 0.5]",190,19,0.0711386337462144,"[0.9406590942262119, 1.0223651931039313]",cross_entropy,0.0,0.9980392156862745,0.014438483245469922,34,269.2860200405121,2.31146240234375
0.00024970737145052745,1.0521761868451139e-06,108,77,"[32, 64, 128]","[0.3, 0.6]",343,13,0.05953375254290355,"[0.7932946965146986, 1.097554996608024]",cross_entropy,0.0,0.9976470588235294,0.011567684847190429,37,313.8026051521301,0.7154121398925781
0.0059487468132197715,7.742116473996259e-05,29,77,"[64, 128, 256]","[0.25, 0.5]",75,7,0.05471437785301014,"[0.8909231233791342, 1.0943067943228981]",cross_entropy_ls,0.07478766874466249,0.9984313725490196,0.41130696551472534,65,552.8326873779297,2.1934547424316406
0.000661859559718348,0.001052457468133564,41,26,"[64, 128, 256]","[0.3, 0.6]",424,9,0.1838838497734967,"[0.8618026725746952, 1.2422320465492187]",cross_entropy,0.0,0.9980392156862745,0.010613275683318338,25,185.30705094337463,2.5515823364257812
0.0028604390429824616,2.9589152820953114e-05,87,71,"[64, 128, 256]","[0.2, 0.4]",329,22,0.05248817433917843,"[0.8536279174897843, 1.0679487325593815]",cross_entropy,0.0,0.9988235294117647,0.008027613404902855,25,237.85221767425537,2.4540977478027344
0.007704463493598939,5.46292309882721e-05,69,63,"[64, 128, 256]","[0.25, 0.5]",67,24,0.0591981502640532,"[0.9068609803361926, 1.1302692766807894]",cross_entropy,0.0,0.9984313725490196,0.007416393853523272,38,326.925728559494,2.1852455139160156
0.008670479304752482,2.1771627185116486e-05,18,77,"[64, 128, 256]","[0.25, 0.5]",275,12,0.08670324389674133,"[0.9129336304968007, 1.1860536492619846]",cross_entropy,0.0,0.9976470588235294,0.011276640919401924,23,270.46845412254333,2.3986854553222656
0.00392649435429955,4.767692923943186e-05,77,54,"[64, 128, 256]","[0.25, 0.5]",272,25,0.05038874352384263,"[0.8887985998089446, 1.1195881921161175]",cross_entropy_ls,0.11663075843591585,0.9992156862745099,0.5813375315011716,50,362.7025320529938,2.3956069946289062
0.0016657592412071388,7.13071932784411e-06,82,53,"[16, 32, 64]","[0.2, 0.4]",282,25,0.07954517333886463,"[0.9716577622916173, 1.1709245787909253]",cross_entropy,0.0,0.9988235294117647,0.008895764659129567,48,355.557076215744,0.2164764404296875
0.004048893702057917,3.314276695987814e-05,108,48,"[64, 128, 256]","[0.25, 0.5]",431,27,0.10755774043758679,"[0.8275925016214393, 1.1295573357999031]",cross_entropy,0.0,0.9988235294117647,0.008439473174306947,27,252.45669031143188,2.558765411376953
0.0023724136087385187,4.501571612948486e-06,63,43,"[32, 64, 128]","[0.25, 0.5]",136,16,0.07118043801535262,"[0.9587442697541712, 1.1190421536642017]",cross_entropy,0.0,0.9988235294117647,0.008953071932034672,34,300.3388440608978,0.6040725708007812
0.0022592097247684005,3.449372884205658e-05,85,59,"[16, 32, 64]","[0.2, 0.4]",250,26,0.08179868248998501,"[0.8885495089607707, 1.2094161767384684]",cross_entropy,0.0,0.9988235294117647,0.008692128068651073,19,195.07824969291687,0.2070770263671875
0.003647959689412978,4.165557513572256e-06,108,45,"[16, 32, 64]","[0.2, 0.4]",318,23,0.0678962949553006,"[0.9451346275839055, 1.1147298859064587]",cross_entropy,0.0,0.9988235294117647,0.008661019438055946,20,201.45744562149048,0.22705078125
0.0013013561921323535,1.627971322865157e-06,72,37,"[16, 32, 64]","[0.2, 0.4]",248,28,0.05095357845620693,"[0.9670519286626796, 1.052406766879011]",cross_entropy,0.0,0.9984313725490196,0.009566646570096697,25,238.20298218727112,0.20648956298828125
0.0023823379047042985,4.869613232082764e-06,88,52,"[16, 32, 64]","[0.25, 0.5]",357,25,0.0971474195444565,"[0.9135702197804543, 1.1860240442444507]",cross_entropy,0.0,0.9988235294117647,0.008349051773274208,34,297.3983862400055,0.23850631713867188
0.000999217029828487,2.3065393412099844e-05,57,83,"[64, 128, 256]","[0.2, 0.4]",304,20,0.08095290393441344,"[0.7879554164920501, 1.2482599349960972]",cross_entropy_ls,0.19982380565626268,0.9988235294117647,0.876975996985155,72,569.1629302501678,2.4284439086914062
0.005130833263044888,5.2223500842040277e-05,75,62,"[64, 128, 256]","[0.2, 0.4]",155,16,0.1989858029579758,"[0.886706330492696, 1.152847904108512]",cross_entropy,0.0,0.9988235294117647,0.008513720576314988,27,248.80589890480042,2.2755470275878906
0.009636358102984235,1.2550768592239695e-05,102,69,"[32, 64, 128]","[0.3, 0.6]",264,28,0.06423359662793308,"[0.8415688753418387, 1.106322406230956]",cross_entropy_ls,0.11646238173713372,0.9988235294117647,0.5789429068565368,51,414.5426399707794,0.6729202270507812
0.0028951570809936174,0.00017365838276671845,100,70,"[16, 32, 64]","[0.25, 0.5]",224,30,0.10466489199706734,"[0.8004913130307751, 1.0686977788938372]",cross_entropy_ls,0.003997167271858365,0.9992156862745099,0.04730322365375126,45,369.9848427772522,0.19944000244140625
0.003133162431544097,4.698117937004813e-05,100,71,"[16, 32, 64]","[0.25, 0.5]",292,30,0.10631896887298266,"[0.81633909290376, 1.0765145419330504]",cross_entropy_ls,0.04423016602068948,0.9984313725490196,0.27165550928489834,71,476.13921999931335,0.21941375732421875
0.00604997682034488,1.9107212119344904e-05,83,66,"[16, 32, 64]","[0.25, 0.5]",121,23,0.07540147049484053,"[0.7414358686309057, 1.0337908840528651]",cross_entropy_ls,0.04515150913179691,0.9988235294117647,0.27635232247558295,64,444.63643288612366,0.16918563842773438
0.002943912933477317,2.766240083228651e-06,80,38,"[16, 32, 64]","[0.25, 0.5]",303,20,0.07834918175284396,"[0.8437308402718752, 1.101837244296681]",cross_entropy_ls,0.006561188707585581,0.9988235294117647,0.07019531639183269,38,263.11832904815674,0.22264480590820312
0.003858921100781887,2.8660953196330396e-05,116,47,"[64, 128, 256]","[0.25, 0.5]",469,27,0.10169678520782541,"[0.8235212045461245, 1.1241993898522704]",cross_entropy,0.0,0.9996078431372549,0.007661363980550246,25,236.46143889427185,2.597759246826172
0.0026488190126247872,7.792779633529972e-05,73,66,"[64, 128, 256]","[0.3, 0.6]",399,29,0.1022999475546854,"[0.7794141165051713, 1.2297461828598708]",cross_entropy_ls,0.06550852500293847,0.9980392156862745,0.36960610514762354,64,451.3286807537079,2.525928497314453
0.007215330468733718,1.7436442630891745e-05,44,75,"[64, 128, 256]","[0.25, 0.5]",221,23,0.1300093877082405,"[0.8543291119928945, 1.2675303390916437]",cross_entropy,0.0,0.9984313725490196,0.010246272934713417,32,302.13350892066956,2.343273162841797
0.0027146786819217074,1.4909593821486132e-05,95,64,"[64, 128, 256]","[0.3, 0.6]",306,24,0.07362709814727814,"[0.8435638177896588, 1.1527601793934643]",cross_entropy_ls,0.2200259724513351,0.9992156862745099,0.9411448394550996,61,435.0188970565796,2.4304962158203125
0.002685920338804401,1.3715110651942466e-05,83,69,"[64, 128, 256]","[0.3, 0.6]",309,24,0.07342165315173638,"[0.8406697618585279, 1.1557086492120194]",cross_entropy_ls,0.21227352822852877,0.9988235294117647,0.9169873523945902,54,442.06219506263733,2.433574676513672
0.005957417913682208,2.3334706106417725e-05,88,64,"[64, 128, 256]","[0.3, 0.6]",347,23,0.06657935876128243,"[0.9527402759591825, 1.0636615224592976]",cross_entropy_ls,0.14445562612392354,0.9992156862745099,0.686025344437244,45,373.1886851787567,2.4725685119628906
0.0032617645720056042,2.6975173630960597e-05,96,59,"[64, 128, 256]","[0.3, 0.6]",298,24,0.08262411987655832,"[0.8614314279035599, 1.0462010056150621]",cross_entropy_ls,0.1284307425759445,0.9988235294117647,0.625129198326784,58,407.340491771698,2.4222869873046875
0.0021342722058338127,1.589216398906413e-05,77,74,"[64, 128, 256]","[0.3, 0.6]",324,25,0.06268975311288721,"[0.9727373025948843, 1.023900751839846]",cross_entropy_ls,0.1746255830541962,0.9992156862745099,0.7892967996176551,66,514.2165322303772,2.4489669799804688
0.004568328428983982,5.834934124716919e-05,76,76,"[64, 128, 256]","[0.3, 0.6]",336,22,0.05047720989458596,"[0.9877798795725223, 1.0224705034219455]",cross_entropy_ls,0.16804829072658553,0.9988235294117647,0.7673781996147305,75,514.212527513504,2.4612808227539062
0.006043584704658346,1.5787399306577966e-05,89,91,"[64, 128, 256]","[0.3, 0.6]",314,26,0.06198198761175207,"[0.8809648833857914, 1.0188999017470466]",cross_entropy_ls,0.21550839318585235,0.9984313725490196,0.9268347172176137,57,455.3880252838135,2.4387054443359375
0.002301833434858843,1.1141189194905933e-05,102,78,"[64, 128, 256]","[0.3, 0.6]",351,20,0.06476637821891398,"[0.9013842250435732, 1.0282892136654462]",cross_entropy_ls,0.16579253419803586,0.9988235294117647,0.7592613983154297,78,530.4058864116669,2.476673126220703
